replicate_pool,treatment,column_temperature
1r,Removal,20.75
2r,Removal,15.25
3r,Removal,19.5
4r,Removal,13.25
5r,Removal,7.5
6r,Removal,7.75
7r,Removal,16
8r,Removal,16
9r,Removal,12.75
10r,Removal,15.5
11r,Removal,14.25
12r,Removal,21.5
13r,Removal,9.75
14r,Removal,16.75
15r,Removal,17.5
16r,Removal,11.25
17r,Removal,20
18r,Removal,22
19r,Removal,5
20r,Removal,14
1c,Control,18.25
2c,Control,16.25
3c,Control,17.5
4c,Control,12.5
5c,Control,5
6c,Control,10
7c,Control,15.25
8c,Control,4.75
9c,Control,10.25
10c,Control,13.25
11c,Control,10
12c,Control,20.25
13c,Control,9.5
14c,Control,15.5
15c,Control,15.25
16c,Control,16
17c,Control,18.25
18c,Control,21.25
19c,Control,5.5
20c,Control,10.25
